Name,50 FR 15,100 FR 15,200 FR 15,500 FR 15,1000 FR 15,1650 FR 15,100 BK 15,200 BK 15,100 BR 15,200 BR 15,100 FL 15,200 FL 15,200 IM 15,400 IM 15,50 FR 16,100 FR 16,200 FR 16,500 FR 16,1000 FR 16,1650 FR 16,100 BK 16,200 BK 16,100 BR 16,200 BR 16,100 FL 16,200 FL 16,200 IM 16,400 IM 16,50 FR 17,100 FR 17,200 FR 17,500 FR 17,1000 FR 17,1650 FR 17,100 BK 17,200 BK 17,100 BR 17,200 BR 17,100 FL 17,200 FL 17,200 IM 17,400 IM 17,50 FR 18,100 FR 18,200 FR 18,500 FR 18,1000 FR 18,1650 FR 18,100 BK 18,200 BK 18,100 BR 18,200 BR 18,100 FL 18,200 FL 18,200 IM 18,400 IM 18,Top 3 Power Points,Top 3 Ratio,Top 3 Improvement,Top 5 Improvement
Aaron Athanas,21.97,47.92,105.38,283.58,588.14,0.0,53.86,114.94,62.7,169.58,56.25,144.9,121.23,257.37,21.8,47.32,104.32,284.67,602.64,0.0,51.65,112.59,61.08,137.62,53.14,0.0,116.91,242.76,21.65,47.2,100.58,281.36,579.33,0.0,50.98,110.43,72.48,135.76,52.34,116.7,115.74,242.84,0.0,53.83,116.6,0.0,0.0,0.0,49.36,107.81,0.0,0.0,0.0,0.0,110.25,0.0,881.3333333333334,99.21236639128423,9.21236639128424,8.979838312988639
Aaron Casey,24.29,50.52,105.78,274.14,563.73,951.57,52.52,109.86,70.14,154.03,56.61,123.23,122.79,242.55,23.3,50.53,102.87,270.72,556.85,0.0,52.32,108.33,72.88,0.0,57.0,118.42,116.86,240.23,22.4,48.82,101.11,266.03,554.92,923.48,50.91,107.86,81.63,170.32,61.31,116.88,114.56,234.32,0.0,49.93,0.0,264.39,0.0,941.64,58.79,105.82,0.0,0.0,0.0,0.0,116.86,230.66,960.6666666666666,97.61338871457589,7.613388714575899,9.21197800323555
Aaron Deardon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.09,119.84,128.34,0.0,718.5,95.18147767544359,5.181477675443582,5.181477675443582
Aaron Ghiglieri,21.28,46.82,104.04,0.0,0.0,0.0,52.91,133.32,62.61,0.0,50.89,126.38,131.52,269.53,21.39,46.33,102.6,0.0,0.0,0.0,53.41,0.0,63.13,0.0,50.12,0.0,149.47,265.05,21.11,46.18,101.33,0.0,0.0,0.0,63.34,0.0,58.73,0.0,49.48,112.72,113.12,0.0,20.95,45.65,104.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.9,119.13,111.15,0.0,906.0,97.87321063394683,7.873210633946831,7.407449810859378
Aaron Glas,25.22,52.85,110.53,297.15,608.28,1042.83,62.64,136.98,0.0,0.0,62.31,133.15,131.73,275.23,23.91,51.41,105.93,283.0,596.55,994.33,71.17,157.63,0.0,0.0,68.03,126.89,124.81,261.01,26.93,49.1,103.31,277.19,579.5,951.79,0.0,0.0,68.82,0.0,58.69,130.69,120.38,255.39,26.96,0.0,104.85,279.12,0.0,943.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.9,862.3333333333334,96.57271432267557,6.5727143226755755,6.63580812609341
Aaron Wayne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.63,47.07,0.0,293.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.51,45.22,107.89,299.15,0.0,0.0,58.89,0.0,0.0,0.0,52.84,130.79,0.0,0.0,20.33,43.92,97.13,291.27,0.0,0.0,56.51,0.0,66.32,0.0,49.47,0.0,124.94,0.0,978.3333333333334,95.81472830624006,5.814728306240058,5.720663091126021
Abrahm DeVine,24.44,60.72,122.02,285.05,0.0,0.0,53.99,114.93,75.6,152.26,61.34,123.79,116.69,247.92,0.0,49.74,119.67,272.65,0.0,949.41,51.92,109.27,62.86,154.91,53.85,113.69,110.3,231.65,21.36,47.44,101.02,266.85,560.39,931.15,52.03,132.01,60.39,162.83,54.38,106.28,107.6,225.46,21.32,55.82,114.61,266.29,0.0,0.0,53.74,121.26,69.87,153.32,49.95,105.75,107.39,227.97,1039.6666666666667,96.00232095930302,6.002320959303028,4.7023904861103825
Adam Bulkley,0.0,58.46,0.0,300.22,0.0,0.0,0.0,126.5,61.88,132.17,54.87,118.46,124.58,266.23,0.0,52.23,0.0,0.0,0.0,0.0,59.56,123.59,61.88,132.14,55.4,118.4,120.24,256.02,0.0,52.1,0.0,293.91,0.0,0.0,59.56,124.82,60.63,129.6,55.0,118.17,118.62,252.79,0.0,0.0,0.0,297.94,0.0,0.0,0.0,125.25,60.47,130.51,53.15,115.2,116.8,247.64,724.0,100.11411723584216,10.114117235842155,9.057364698720804
Adam Flur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.34,48.06,0.0,0.0,0.0,0.0,0.0,0.0,68.18,0.0,55.59,0.0,0.0,0.0,796.3333333333334,94.32791700877114,4.3279170087711245,4.3279170087711245
Adam Hinshaw,23.45,48.2,99.31,265.11,563.58,938.89,56.23,125.73,61.0,139.24,55.84,121.54,119.35,250.57,22.77,47.62,97.7,262.27,546.7,920.45,52.88,112.78,58.96,135.93,53.37,110.15,113.23,238.25,22.12,46.05,97.72,259.08,545.51,913.09,53.15,113.67,57.59,133.54,52.46,108.34,108.77,233.27,22.41,45.51,101.41,259.19,539.25,889.24,0.0,0.0,59.82,129.71,0.0,108.96,113.33,224.74,958.3333333333334,100.0514019187448,10.051401918744794,10.518829220117363
